,G,T1,T2,T3,T4,T5,T6,T7,T8,T9
141,6.636.299.212.598.420,400.0,4.005.688.688,4.010.523.128,4.014.556.591,4.017.818.095,4.020.331.007,4.022.113.272,4.023.177.586,4.023.531.519
142,5.374.330.708.661.410,400.0,3.991.065.441,3.983.418.343,3.977.028.743,3.971.855.982,3.967.866.929,3.965.035.899,3.963.344.588,3.962.782.034
143,2.670.275.590.551.180,400.0,396.113.912,3.927.809.847,389.987.803,3.877.211.315,3.859.699.087,3.847.253.833,3.839.812.231,3.837.335.971
144,7.541.811.023.622.040,400.0,4.016.450.013,4.030.439.957,4.042.099.175,4.051.518.854,4.058.771.778,4.063.913.464,4.066.983.001,4.068.003.613
145,6.643.700.787.401.570,400.0,4.005.775.731,4.010.684.327,4.014.779.623,4.018.091.104,4.020.642.508,4.022.452.066,4.023.532.676,4.023.892.028
146,6.584.291.338.582.670,400.0,4.005.077.498,4.009.391.188,4.012.990.402,4.015.900.912,4.018.143.474,4.019.734.036,4.020.683.888,4.020.999.761
147,4.217.952.755.905.510,400.0,3.978.037.665,3.959.232.747,3.943.499.533,393.074.925,3.920.908.769,3.913.920.903,3.909.744.632,3.908.355.286
148,9.715.157.480.314.960,400.0,4.043.228.219,4.079.887.549,4.110.355.254,4.134.918.479,4.153.801.628,4.167.173.078,417.514.996,4.177.801.317
149,2.547.637.795.275.590,400.0,3.959.825.742,3.925.365.263,3.896.481.712,3.873.040.208,3.854.927.897,3.842.055.411,3.834.358.042,3.831.796.623
150,5.880.511.811.023.620,400.0,3.996.879.277,3.994.200.022,3.991.962.665,3.990.152.236,3.988.756.593,3.987.766.361,3.987.174.877,3.986.978.157
151,26.054.330.708.661.400,400.0,3.960.444.233,3.926.516.498,3.898.081.198,3.875.004.626,3.857.174.972,3.844.503.731,3.836.926.843,3.834.405.538
152,797.744.094.488.189,400.0,4.021.708.866,4.040.163.577,4.055.535.425,4.067.949.401,4.077.504.849,40.842.773,4.088.319.803,4.089.663.828
153,5.291.850.393.700.780,400.0,3.990.124.573,3.981.672.843,3.974.610.253,3.968.892.236,3.964.482.445,3.961.352.686,3.959.482.859,395.886.092
154,15.798.031.496.062.900,400.0,3.949.589.901,3.906.302.111,3.869.983.657,384.048.408,3.817.676.364,3.801.459.188,3.791.758.781,3.788.530.323
155,7.557.598.425.196.850,400.0,4.016.639.661,4.030.790.725,404.258.399,4.052.111.824,4.059.447.941,4.064.648.562,4.067.753.265,4.068.785.567
156,2.498.228.346.456.690,400.0,3.959.297.644,3.924.382.225,3.895.115.844,3.871.362.641,3.853.008.888,3.839.964.491,3.832.164.201,3.829.568.513
157,6.343.503.937.007.870,400.0,4.002.257.443,4.004.167.315,4.005.761.313,4.007.050.592,4.008.044.158,4.008.748.944,4.009.169.861,4.009.309.842
158,5.906.929.133.858.260,400.0,3.997.184.585,3.994.766.011,3.992.746.404,3.991.112.213,3.989.852.455,3.988.958.647,3.988.424.763,3.988.247.202
159,7.651.456.692.913.380,400.0,4.017.768.595,4.032.878.597,4.045.469.567,4.055.640.955,4.063.472.057,4.069.023.306,4.072.337.228,4.073.439.077
160,5.284.409.448.818.890,400.0,3.990.039.782,3.981.515.529,3.974.392.275,3.968.625.103,3.964.177.381,396.102.069,3.959.134.767,3.958.507.474
161,6.361.181.102.362.200,400.0,4.002.463.936,4.004.549.881,4.006.290.795,4.007.698.882,4.008.783.992,4.009.553.707,40.100.134,4.010.166.275
162,7.176.771.653.543.300,400.0,4.012.084.383,4.022.363.226,4.030.933.447,4.037.859.885,4.043.194.476,4.046.976.945,4.049.235.315,4.049.986.261
163,9.873.582.677.165.350,400.0,404.523.404,4.083.584.802,4.115.451.658,4.141.138.841,416.088.374,4.174.864.261,4.183.204.055,4.185.975.966
164,22.318.503.937.007.800,400.0,395.646.088,3.919.100.756,3.887.776.521,3.862.347.373,3.842.695.164,3.828.726.105,3.820.372.169,3.817.592.127
